œ003221;9177116;51.96
œ003221;9096186;3.46
œ003221;797;40.99
œ003221;9098246;39.16
œ003936;9177116;51.96
œ003936;9096186;3.46
œ003936;797;40.99
œ003936;9098246;39.16
œ000829;9177116;3495
œ000829;9098246;2634
œ000871;9177116;3512
œ000871;797;2757
œ000871;9098246;2647
œ000905;9177116;3495
œ000905;797;2757
œ000905;9098246;2634
90692;797;2757
90792;797;2757
œ001013;9177116;3495
œ001013;797;2757
œ001013;9098246;2634
œ001056;9177116;3443
œ001056;9096186;233
œ001056;797;2757
œ001056;9098246;2608
œ001088;9177116;3495
œ001088;797;2757
œ001088;9098246;2634
œ002021;9177116;3495
œ002021;797;2757
œ002021;9098246;2634
œ002046;9177116;3495
œ002046;797;2757
œ002046;9098246;2634
œ002099;9177116;3495
œ002099;797;2757
œ002099;9098246;2634
œ002146;9177116;3495
œ002146;797;2757
œ002146;9098246;2634
œ002170;9177116;3495
œ002170;797;2757
œ002170;9098246;2634
œ002199;9177116;3495
œ002199;797;2757
œ002199;9098246;2634
œ002216;9177116;3495
œ002216;797;2757
œ002216;9098246;2634
œ002254;9177116;3495
œ002254;797;2757
œ002254;9098246;2634
œ002316;797;2757
œ002331;9177116;3495
œ002331;797;2757
œ002331;9098246;2634
œ002347;9177116;3495
œ002347;9098246;2634
œ002372;797;2757
œ002389;9177116;3495
œ002389;797;2757
œ002389;9098246;2634
œ002409;9177116;3495
œ002409;797;2757
œ002409;9098246;2634
œ002430;797;2757
œ002450;797;2757
œ002500;9177116;3495
œ002500;9098246;2634
œ002526;9177116;3495
œ002526;797;2757
œ002526;9098246;2634
œ002543;797;2757
œ002564;9177116;3495
œ002564;797;2757
œ002564;9098246;2594
œ002583;9177116;3530
œ002583;797;2785
œ002583;9098246;2660
œ002595;9177116;3443
œ002595;9096186;233
œ002595;797;2757
œ002595;9098246;2608
œ002688;9177116;3495
œ002688;797;2757
œ002688;9098246;2634
œ002712;9177116;3495
œ002712;797;2757
œ002712;9098246;2634
œ005921;9177116;3547
œ005921;797;2798
œ005921;9098246;2674
œ005981;9177116;3530
œ005981;797;2757
œ005981;9098246;2660
œ006047;9177116;3495
œ006047;797;2757
œ006047;9098246;2594
œ006108;9177116;3547
œ006108;797;2798
œ006108;9098246;2674
œ006156;9177116;3495
œ006156;797;2757
œ006156;9098246;2634
œ006208;9177116;3495
œ006208;797;2757
œ006208;9098246;2634
œ006260;9177116;3425
œ006260;797;2757
œ006260;9098246;2594
œ006330;9177116;3495
œ006330;797;2757
œ006330;9098246;2634
œ004055;9177116;3547
œ004055;797;2798
œ004055;9098246;2674
91279;797;2757
œ004435;9177116;3495
œ004435;797;2757
œ004435;9098246;2634
œ004473;9177116;3495
œ004473;797;2757
œ004473;9098246;2634
œ004506;9177116;3495
œ004506;797;2757
œ004506;9098246;2634
œ004567;9177116;3530
œ004567;797;2757
œ004567;9098246;2660
œ004606;9177116;3582
œ004606;797;2757
œ004606;9098246;2700
œ000418;9177116;3495
œ000418;797;2757
œ000418;9098246;2634
91795;797;2757
œ003567;9177116;3495
œ003567;797;2757
œ003567;9098246;2634
œ003593;797;2757
œ003619;797;2757
œ003666;9177116;3495
œ003666;797;2757
œ003666;9098246;2634
œ003744;9177116;3495
œ003744;797;2757
œ003744;9098246;2634
œ003758;9177116;3495
œ003758;797;2757
œ003758;9098246;2594
œ003788;9177116;3495
œ003788;797;2757
œ003788;9098246;2634
œ003863;797;2757
œ003885;797;2757
91524;9177116;3495
91524;797;2757
91524;9098246;2594
91579;797;2757
œ004109;9177116;3495
œ004109;797;2757
œ004109;9098246;2634
œ004134;9177116;3495
œ004134;797;2757
œ004134;9098246;2634
œ004153;9177116;3495
œ004153;797;2757
œ004153;9098246;2634
œ004171;9177116;3495
œ004171;797;2757
œ004171;9098246;2594
œ000603;797;2757
œ000630;9177116;3547
